province,municipality,lat,lng
BATANGAS 1,Agoncillo,13.9467,120.9303
BATANGAS 1,Balayan,13.9499,120.7297
BATANGAS 1,Bauan,13.7963,120.9762
BATANGAS 1,Calatagan,13.8820,120.6545
BATANGAS 1,Lemery,13.8846,120.9140
BATANGAS 1,Nasugbu,14.0940,120.6890
BATANGAS,Batangas City,13.7564,121.0583
BATANGAS,Calaca,13.9313,120.8072
BATANGAS,Cuenca,13.9041159,121.0507098
BATANGAS,Lian,13.9852356,120.6545022
BATANGAS,Padre Garcia,13.8769,121.2107
BATANGAS,Rosario,13.8162016,121.2740813
BATANGAS,San Luis,13.8406018,120.9532123
BATANGAS,Sta. Teresita,13.8698,120.9769
BATANGAS,Taal,13.8893119,120.9359987
BATANGAS,Tuy,14.0220752,120.7283538
